year,gen_bioenergy_twh,gen_coal_twh,gen_gas_twh,gen_hydro_twh,gen_net_imports_twh,gen_nuclear_twh,gen_other_fossil_twh,gen_other_renewables_twh,gen_solar_twh,gen_wind_twh,share_bioenergy_pct,share_coal_pct,share_gas_pct,share_hydro_pct,share_net_imports_pct,share_nuclear_pct,share_other_fossil_pct,share_other_renewables_pct,share_solar_pct,share_wind_pct
2000,0.0,0.24,21.78,17.19,0.0,0.38,26.9,0.0,0.0,0.0,0.0,0.36,32.76,25.85,0.0,0.57,40.46,0.0,0.0,0.0
2001,0.0,0.28,24.85,18.94,0.0,1.98,26.06,0.0,0.0,0.0,0.0,0.39,34.46,26.27,0.0,2.75,36.14,0.0,0.0,0.0
2002,0.0,0.23,27.01,22.35,0.0,1.8,24.38,0.0,0.0,0.0,0.0,0.3,35.65,29.5,0.0,2.38,32.18,0.0,0.0,0.0
2003,1.2,0.2,39.21,26.94,0.07,1.81,12.72,0.0,0.0,0.0,1.46,0.24,47.77,32.82,0.09,2.21,15.5,0.0,0.0,0.0
2004,1.2,0.17,43.47,25.67,0.11,1.93,13.52,0.0,0.0,0.0,1.4,0.2,50.57,29.86,0.13,2.25,15.73,0.0,0.0,0.0
2005,1.0,0.13,41.29,30.86,0.15,2.41,18.87,0.0,0.0,0.0,1.06,0.14,43.67,32.64,0.16,2.55,19.96,0.0,0.0,0.0
2006,1.06,0.14,35.81,31.95,0.17,2.55,28.02,0.0,0.0,0.0,1.07,0.14,35.98,32.1,0.17,2.56,28.15,0.0,0.0,0.0
2007,1.25,0.14,32.92,28.71,0.2,2.31,30.82,0.0,0.0,0.0,1.3,0.15,34.24,29.86,0.21,2.4,32.05,0.0,0.0,0.0
2008,1.28,0.11,29.68,27.78,0.23,1.74,32.42,0.0,0.0,0.0,1.38,0.12,31.91,29.87,0.25,1.87,34.86,0.0,0.0,0.0
2009,1.0,0.12,28.08,28.09,0.25,2.64,36.17,0.0,0.0,0.01,1.04,0.12,29.22,29.23,0.26,2.75,37.63,0.0,0.0,0.01
2010,0.99,0.09,25.88,31.81,0.27,2.56,33.19,0.0,0.01,0.01,1.05,0.1,27.37,33.65,0.29,2.71,35.11,0.0,0.01,0.01
2011,1.11,0.1,27.65,28.52,0.27,3.84,33.56,0.0,0.03,0.02,1.17,0.11,29.16,30.07,0.28,4.05,35.39,0.0,0.03,0.02
2012,1.17,0.06,27.12,29.86,0.38,5.27,34.54,0.0,0.07,0.01,1.19,0.06,27.65,30.44,0.39,5.37,35.21,0.0,0.07,0.01
2013,1.35,0.16,26.67,31.87,0.42,4.4,39.89,0.0,0.14,0.4,1.29,0.15,25.43,30.39,0.4,4.2,38.03,0.0,0.13,0.38
2014,1.92,0.14,28.35,32.47,0.44,4.58,39.41,0.0,0.24,0.8,1.78,0.13,26.27,30.09,0.41,4.24,36.52,0.0,0.22,0.74
2015,2.15,0.15,35.0,34.63,0.46,4.33,35.36,0.0,0.38,0.79,1.91,0.13,31.03,30.7,0.41,3.84,31.35,0.0,0.34,0.7
2016,1.66,0.62,41.43,32.18,0.5,5.44,39.56,0.0,0.68,1.33,1.35,0.5,33.71,26.18,0.41,4.43,32.19,0.0,0.55,1.08
2017,1.7,10.91,49.2,27.92,0.56,8.11,29.5,0.0,0.92,2.1,1.3,8.37,37.74,21.42,0.43,6.22,22.63,0.0,0.71,1.61
2018,1.71,15.77,57.44,27.34,0.49,9.29,13.39,0.0,0.92,3.16,1.33,12.22,44.52,21.19,0.38,7.2,10.38,0.0,0.71,2.45
2019,1.71,25.86,46.02,33.58,0.51,9.07,13.24,0.0,2.61,2.88,1.27,19.16,34.1,24.88,0.38,6.72,9.81,0.0,1.93,2.13
2020,1.75,27.55,49.47,33.55,0.5,9.64,17.2,0.0,4.1,2.9,1.2,18.85,33.85,22.95,0.34,6.6,11.77,0.0,2.81,1.98
2021,1.85,25.91,48.67,33.55,0.5,15.74,27.12,0.0,5.79,4.58,1.13,15.88,29.82,20.56,0.31,9.64,16.62,0.0,3.55,2.81
2022,1.91,27.49,46.98,34.58,0.46,22.28,28.67,0.0,7.72,6.34,1.09,15.62,26.7,19.65,0.26,12.66,16.29,0.0,4.39,3.6
2023,1.77,26.44,45.51,37.9,0.48,22.44,20.51,0.0,11.35,6.05,1.03,15.37,26.46,22.04,0.28,13.05,11.93,0.0,6.6,3.52
2024,1.82,24.36,43.98,38.27,0.48,22.88,18.66,0.0,19.83,5.16,1.04,13.92,25.14,21.87,0.27,13.08,10.67,0.0,11.33,2.95
