year,other_renewables_electricity_generation_twh,solar_twh,wind_twh,hydro_twh
1965,0.0,0.0,0.0,2.196442
1966,0.0,0.0,0.0,2.196442
1967,0.0,0.0,0.0,2.6030266
1968,0.0,0.0,0.0,3.128935
1969,0.0,0.0,0.0,3.3012917
1970,0.0,0.0,0.0,2.9212234
1971,0.0,0.0,0.0,3.8139422
1972,0.0,0.0,0.0,4.012815
1973,0.0,0.0,0.0,4.233785
1974,0.0,0.0,0.0,4.2558823
1975,0.0,0.0,0.0,4.896695
1976,0.0,0.0,0.0,5.3165383
1977,0.0,0.0,0.0,6.3153224
1978,0.0,0.0,0.0,7.8400154
1979,0.0,0.0,0.0,8.476409
1980,0.0,0.0,0.0,8.887413
1981,0.0,0.0,0.0,9.28074
1982,0.0,0.0,0.0,10.443042
1983,0.0,0.0,0.0,12.095898
1984,0.0,0.0,0.0,12.537838
1985,0.0,0.0,0.0,13.023972
1986,0.0,0.0,0.0,12.453869
1987,0.0,0.0,0.0,16.373877
1988,0.0,0.0,0.0,17.16495
1989,0.0,0.0,0.0,17.443373
1990,0.0,0.0,0.0,17.0854
1991,0.0,0.0,0.0,18.283058
1992,0.0,0.0,0.0,19.944752
1993,0.0,0.0,0.0,21.933483
1994,0.0,0.0,0.0,21.526897
1995,0.0,0.0,0.0,22.746653
1996,0.0,0.0,0.0,24.797253
1997,0.0,0.0,0.0,18.446575
1998,0.0,0.0,0.0,24.107826
1999,0.0,0.0,0.0,21.5048
2000,0.9267,0.0,0.0,17.558277
2001,0.8721,0.0,0.0,18.291897
2002,0.9608,0.0,0.0,20.417627
2003,1.0411,0.0,0.0,24.5975
2004,1.0764,0.0,0.0,26.216
2005,0.0,0.0,0.0,30.699635
2006,0.0,0.0,0.0,30.250881
2007,0.0,0.000202,0.0,31.678736
2008,0.0,0.001642,0.0,27.339064
2009,0.0,0.009605,0.0,28.745743
2010,0.0,0.013356,0.0,29.809982
2011,0.0,0.02683,0.0,30.59442
2012,0.0,0.065927,0.019,10.74654
2013,0.0,0.144948,0.15137164,31.485884
2014,0.0,0.238122,0.31336787,32.376305
2015,0.07967607,0.381837,0.598594,32.779472
2016,0.5322557,0.44788164,0.9181191,34.57764
2017,1.0753148,0.6587932,1.7629018,30.204067
2018,1.0303783,0.7228,2.83179,29.479803
2019,0.61805326,0.7002348,3.1482446,36.136223
2020,0.6342793,0.7099004,2.7321582,39.98724
2021,0.70385695,0.7175415,3.432321,37.63238
2022,0.96488345,0.8455621,4.641719,35.101276
2023,0.72996587,1.290224,4.3807354,38.453606
2024,0.79715407,1.6557723,3.476345,39.008297
